N_SN,sigma_SN,N_H1,sigma_H1,N_H2,sigma_H2
33375.972033615326,2331.5657153469697,33375.972033615326,2266.789574457239,33805.06546252208,1777.1289044632997
39321.623390353416,2331.5657153469697,39321.623390353416,2249.001937568632,39078.20112145691,1763.014420477245
46326.44300203482,2331.5657153469697,46326.44300203482,2239.849116703769,46326.44300203482,1754.1857364270738
54579.11286916192,2329.8375935819067,54579.11286916192,2220.2141795952775,54579.11286916192,1740.5818472929557
64301.92711868425,2329.1898781922423,64301.92711868425,2210.563789887012,64301.92711868425,1733.9802184954158
75756.77972429569,2329.1898781922423,75756.77972429569,2196.0650270976475,75756.77972429569,1719.5765114931842
89252.21888921989,2329.1898781922423,89252.21888921989,2180.448485998568,89252.21888921989,1707.823140132382
104760.70514267347,2320.302030309862,105151.75810851534,2154.9335914686735,104760.70514267347,1691.9893247677935
123883.66777789095,2291.716453414895,123883.66777789095,2128.7305550430992,123883.66777789095,1668.2428257832273
145952.51109605576,2263.8501980724336,145952.51109605576,2092.5419229294494,145952.51109605576,1640.3385596535195
171952.73499196474,2235.90828652597,171952.73499196474,2054.3012025868948,156166.10211147132,1632.2643954195514
202584.68216252452,2208.311252225157,196635.3526445314,2017.5160384714043,173423.38553021685,1611.7696026828912
238673.4555214192,2181.256993429833,224860.98817472163,1973.3693991136458,196635.3526445314,1587.6750281552786
281191.1431923295,2154.534179270416,251638.9966617496,1937.5997248195195,220802.1407552045,1545.8366274897091
331283.0026995329,2128.1387491830046,282244.6314266853,1904.9840963007525,255229.21083011277,1513.572567830728
390298.30965391686,2101.8718766050847,294048.61751850165,1865.0127819307995,270235.0227634917,1488.2738225646272
459826.701875398,2076.1216180548063,326382.3404652864,1823.8532932388753,296247.9765191715,1464.1316589582436
541740.9979179606,2051.8275223877645,364354.0376114513,1780.2153956535617,326382.3404652864,1428.1551842494391
647830.9931112643,2022.8433249325203,387400.7165281524,1736.5534796351824,336257.24884858285,1399.4018189571193
763236.6873409207,1997.1355417319578,411197.4622000808,1693.4993693517083,381411.43864753516,1385.3356846165498
899200.9445326016,1979.3530811222913,446322.9140202323,1642.5771083012437,402107.0369413475,1335.5981446197486
1054136.3037887623,1952.4027231054183,466731.0440311849,1597.2809621781153,433215.6935799087,1303.9795964628772
1248106.9094350247,1925.6110874136978,529764.6203770665,1536.9752804183315,459826.701875398,1283.4047422300225
1470446.7571542913,1902.02021875986,506973.7993985767,1573.1952842610863,491722.91062647547,1246.3012646066486
1732394.5963926532,1878.3701480627442,556470.5768059302,1475.4825825273497,510389.4601955864,1203.631390537348
2041006.2608581441,1855.5300004102814,590012.8695594443,1400.0504694605606,559519.7960405936,1156.5700615465976
2404594.522250492,1828.0193200693582,579319.2505251584,1454.2758891975254,566512.1229722096,1198.1775619295076
2832953.003292608,1807.828841793898,601311.0903857204,1355.9494807047026,594184.355208671,1132.6679550270203
3337619.9790030797,1791.593584989079,601311.0903857204,1325.87520089288,592415.9085391625,1101.8022212325625
3932189.171967682,1766.5037476488415,601311.0903857204,1296.4679535325392,596846.9283874463,1065.621668748446
4632675.91319917,1744.2961983557584,601311.0903857204,1267.7129441782565,595366.2514985416,1038.0988374286094
5457948.531503699,1722.9266379197168,601311.0903857204,1240.4385108807849,603106.090452067,1001.386357137942
6430236.5912689045,1701.6611567678344,596846.9283874463,1212.926206479738,596846.9283874463,969.2275829935138
7575729.668579662,1680.6581480153386,596846.9283874463,1186.0241111997518,601311.0903857204,937.1615736499693
8925282.79431053,1660.2220905675676,596846.9283874463,1159.7186909083912,603555.6770842249,896.2794555654795
10476142.002590328,1641.7200862688317,596846.9283874463,1125.9326944066243,596846.9283874463,863.7601397373553
12388451.31555201,1617.566809286719,603106.090452067,1070.8152484432235,601311.0903857204,846.6139472876409
14595350.707066655,1599.8737638657522,596846.9283874463,1040.9249424685415,601311.0903857204,822.2289828556713
17195390.839115478,1582.8142823894777,596846.9283874463,1017.8377490086241,599074.8511680529,805.7702840672275
20258606.45930049,1560.696448110748,596846.9283874463,1000.3489587350681,,
23867508.42203729,1541.576187972787,596846.9283874463,975.1745614538856,,
28119306.203043167,1522.549052023975,595366.2514985416,950.6336933756259,,
33128526.336265676,1503.7567613622407,603555.6770842249,908.9321811379359,,
39030097.303534225,1485.33407545412,596846.9283874463,889.3767997243294,,
45982983.97160353,1467.1370878535913,596846.9283874463,869.9464568223818,,
54174469.47387656,1454.5454860019604,596846.9283874463,850.6514804710633,,
63825199.87368357,1447.1497527453052,596846.9283874463,831.7844570236025,,
75195127.49229622,1440.0585352662392,596846.9283874463,807.3463435252725,,
88590512.99131215,1432.7364618740398,610339.8342432645,1104.3325371222973,,
103984021.07448328,1424.5601247154611,598625.3342926109,929.35820918659,,
122965208.218641,1417.1964453880842,,,,
144870435.61817238,1407.6185671635203,,,,
170677896.78265616,1402.8430944204424,,,,
201082742.14712775,1397.8462836179262,,,,
236903957.4052045,1392.9963714293908,,,,
279106423.7287089,1388.1204008240027,,,,
328826907.83162874,1382.941024640217,,,,
386169438.28373754,1373.74015853934,,,,
456417598.50034267,1362.9212359399307,,,,
537724591.1784747,1355.8657014444373,,,,
633515747.2194637,1349.221787403676,,,,
746371299.6563087,1342.4859986750103,,,,
879331128.5404656,1335.907646876141,,,,
1033406559.342749,1327.678745835315,,,,
1220527251.3176916,1322.6023027297965,,,,
1437954012.7143025,1315.8774433632368,,,,
1694113540.2334077,1309.3081213036164,,,,
1995905753.4702919,1302.7715956054967,,,,
2351459735.211705,1296.1475667881316,,,,
2770352696.618038,1289.7962791873697,,,,
3263867949.2285204,1283.238224229243,,,,
3845298832.5298223,1276.9501940456373,,,,
4530306783.689044,1270.5752104777603,,,,
5337343194.426436,1264.3492306688872,,,,
6288146418.175448,1257.8039811151355,,,,
7408327314.927679,1251.6405819512256,,,,
8728059106.013683,1245.3919528503934,,,,
9857719151.763367,1239.806353908902,,,,
