
These predictions were generated by HydroDyn on 11-Aug-2020 at 18:02:35.

    Time            Wave1Elev            Wave2Elev            Wave3Elev            Wave4Elev            Wave5Elev            Wave6Elev            Wave7Elev            Wave8Elev            Wave9Elev
   (sec)                  (m)                  (m)                  (m)                  (m)                  (m)                  (m)                  (m)                  (m)                  (m)
    0.6000           2.9888E+00           2.7209E+00           2.0471E+00           1.0679E+00          -7.0590E-02          -1.1986E+00          -2.1478E+00          -2.7765E+00          -2.9910E+00
    0.6125           2.9893E+00           2.7304E+00           2.0640E+00           1.0898E+00          -4.7053E-02          -1.1769E+00          -2.1311E+00          -2.7674E+00          -2.9908E+00
    0.6125           2.9893E+00           2.7304E+00           2.0640E+00           1.0898E+00          -4.7053E-02          -1.1769E+00          -2.1311E+00          -2.7674E+00          -2.9908E+00
    0.6250           2.9899E+00           2.7398E+00           2.0809E+00           1.1116E+00          -2.3516E-02          -1.1552E+00          -2.1145E+00          -2.7583E+00          -2.9907E+00
    0.6250           2.9899E+00           2.7398E+00           2.0809E+00           1.1116E+00          -2.3516E-02          -1.1552E+00          -2.1145E+00          -2.7583E+00          -2.9907E+00
    0.6375           2.9905E+00           2.7492E+00           2.0978E+00           1.1335E+00           2.0936E-05          -1.1334E+00          -2.0978E+00          -2.7492E+00          -2.9905E+00
    0.6375           2.9905E+00           2.7492E+00           2.0978E+00           1.1335E+00           2.0936E-05          -1.1334E+00          -2.0978E+00          -2.7492E+00          -2.9905E+00
    0.6500           2.9910E+00           2.7587E+00           2.1148E+00           1.1553E+00           2.3558E-02          -1.1117E+00          -2.0812E+00          -2.7401E+00          -2.9903E+00
    0.6500           2.9910E+00           2.7587E+00           2.1148E+00           1.1553E+00           2.3558E-02          -1.1117E+00          -2.0812E+00          -2.7401E+00          -2.9903E+00
    0.6625           2.9916E+00           2.7681E+00           2.1317E+00           1.1772E+00           4.7095E-02          -1.0900E+00          -2.0645E+00          -2.7310E+00          -2.9901E+00
    0.6625           2.9916E+00           2.7681E+00           2.1317E+00           1.1772E+00           4.7095E-02          -1.0900E+00          -2.0645E+00          -2.7310E+00          -2.9901E+00
    0.6750           2.9921E+00           2.7775E+00           2.1486E+00           1.1990E+00           7.0632E-02          -1.0683E+00          -2.0479E+00          -2.7219E+00          -2.9899E+00
    0.6750           2.9921E+00           2.7775E+00           2.1486E+00           1.1990E+00           7.0632E-02          -1.0683E+00          -2.0479E+00          -2.7219E+00          -2.9899E+00
    0.6875           2.9927E+00           2.7870E+00           2.1655E+00           1.2209E+00           9.4169E-02          -1.0466E+00          -2.0312E+00          -2.7128E+00          -2.9897E+00
    0.6875           2.9927E+00           2.7870E+00           2.1655E+00           1.2209E+00           9.4169E-02          -1.0466E+00          -2.0312E+00          -2.7128E+00          -2.9897E+00
    0.7000           2.9933E+00           2.7964E+00           2.1824E+00           1.2427E+00           1.1771E-01          -1.0249E+00          -2.0146E+00          -2.7037E+00          -2.9895E+00
    0.7000           2.9933E+00           2.7964E+00           2.1824E+00           1.2427E+00           1.1771E-01          -1.0249E+00          -2.0146E+00          -2.7037E+00          -2.9895E+00
    0.7125           2.9938E+00           2.8059E+00           2.1993E+00           1.2646E+00           1.4124E-01          -1.0032E+00          -1.9979E+00          -2.6946E+00          -2.9893E+00
    0.7125           2.9938E+00           2.8059E+00           2.1993E+00           1.2646E+00           1.4124E-01          -1.0032E+00          -1.9979E+00          -2.6946E+00          -2.9893E+00
    0.7250           2.9944E+00           2.8153E+00           2.2162E+00           1.2864E+00           1.6478E-01          -9.8147E-01          -1.9813E+00          -2.6855E+00          -2.9891E+00
    0.7250           2.9944E+00           2.8153E+00           2.2162E+00           1.2864E+00           1.6478E-01          -9.8147E-01          -1.9813E+00          -2.6855E+00          -2.9891E+00

This output file was closed on 11-Aug-2020 at 18:03:47.

